"","author.ID","paper.ID","coauthor.names","paper.title","journal.title","author.names"
"1","10","1","A Hemani, J &Ouml, b berg","Grammar-Based Hardware Synthesis of Data Communication Protocols ","ISSS International Symposium Systems Synthesis","A Kumar"
"2","10","2","A Hemani, J &Ouml, b berg","Specification of Exception Handling in Grammar-Based Hardware Synthesis ","EUROMICRO","A Kumar"
"3","10","3","A Hemani, J &Ouml, b berg","Scheduling of Outputs in Grammar-based Hardware Synthesis of Data Communication Protocols ","DATE Design Automation and Test Europe","A Kumar"
"4","11","1","K Cheung, M Snyder, N Tosches, P Miller, P Masiar, Y Liu","The TRIPLES database: a community resource for yeast molecular biology ","Nucleic Acids Research","A Kumar"
"5","11","2","K Cheung, M Snyder, P Coelho, P Miller, P Ross-Macdonald","TRIPLES: a database of gene function in Saccharomyces cerevisiae ","Nucleic Acids Research","A Kumar"
"6","11","3","K Cheung, M Gerstein, M Snyder, P Miller, Y Liu","An XML Application For Genomic Data Interoperation ","BIBE IEEE International Conference Bioinformatics and Bioengineering","A Kumar"
"7","12","1","V Malhotra","A Look-Ahead Interpreter for Sequential Prolog and Its Implementation ","FSTTCS Foundations of Software Technology and Theoretical Computer Science","A Kumar"
"8","12","2","NA ","A New Computation Rule for Prolog ","Inf Process Lett","A Kumar"
"9","13","1","M Shukla, P Mishra, S Mishra","An ab initio study of excited states of guanine in the gas phase and aqueous media: Electronic transitions and mechanism of spectral oscillations ","Journal of Computational Chemistry","A Kumar"
"10","13","2","D Craik, G Levy","MOLDYN: a generalized program for the evaluation of molecular dynamics models using nuclear magnetic resonance spin-relaxation data ","Journal of Chemical Information and Computer Sciences","A Kumar"
"11","14","1","A Chrungoo, J Shahabuddin, S Juneja, S Kapoor, V Gupta","Stream-Packing: Resource Allocation in Web Server Farms with a QoS Guarantee ","HiPC","A Kumar"
"12","14","2","N Karnik, V Agarwal","Metering and Accounting for Composite e-Services ","CEC","A Kumar"
"13","1","16","N Adly","HPP: A Hierarchical Propagation Protocol for Large Scale Replication in Wide Area Networks,","Seventh International Conference Computing and Information Peterborough","A Kumar"
"14","1","17","N Adly","HPP: A Reliable Causal Broadcast Protocol for Large-Scale Replication ","Comput J","A Kumar"
"15","1","50","T Camp","A New Matching Algorithm for Managing Location Information in Mobile Computing,","Proceedings of the th IEEE International Conference Performance Computing and Communications IPCCC International Performance Computing and Communications Conference","A Kumar"
"16","1","18","A Basu","Research Commentary: Workflow Management Systems in e-Business,","Information Systems Research","A Kumar"
"17","1","51","","A New Approach for Conflict Resolution and Rule Processing in a Knowledge-Based System,","Proceedings of the Eleventh International Conference Information Systems Copenhagen","A Kumar"
"18","1","19","S Cheung","Efficient Quorumcast Routing Algorithms ","INFOCOM The Conference Computer Communications","A Kumar"
"19","1","52","","New Techniques for data reduction in database systems for knowledge discovery applications,","Journal of Intelligent Information Systems","A Kumar"
"20","1","53","L Zhao","Workflow Support for Electronic Commerce Applications,","Decision Support Systems","A Kumar"
"21","1","54","","Zigzag Path-Based Matching Algorithms for High Availability and Load Balancing,"," manuscript","A Kumar"
"22","1","55","M Stonebraker","Performance Considerations for an Operating System Transaction Manager,","IEEE Transactions Software Engineering","A Kumar"
"23","1","56","M Stonebraker","Performance Evaluation of an Operating System Transaction Manager,","Proceedings of the Thirteenth International VLDB Very Large Data Bases Very Large Databases Conference U K","A Kumar"
"24","1","57","","Performance Analysis of a Hierarchical Quorum Consensus Algorithm for Replicated Objects,","Proceedings of the Tenth IEEE International Conference Distributed Computing Systems","A Kumar"
"25","1","90","J Zhao","Data Management Issues for Large Scale, Distributed Workflow Systems on the Internet ","DATA BASE","A Kumar"
"26","1","58","M Rabinovich, R Sinha","A Performance Study of General Grid Structures for Replicated Data,","IEEE International Conference Distributed Computing Systems","A Kumar"
"27","1","91","L Zhao, E Stohr","A Dynamic Grouping Technique for Distributing Codified- Knowledge in Large Organizations,","Workshop Information Technology and Systems WITS Workshop Information Technologies and Systems Sydney","A Kumar"
"28","1","59","M Stonebraker","Operating System Support for Data Management,","IEEE Data Engineering","A Kumar"
"29","1","92","J Zhao","A Framework for Dynamic Routing and Operational Integrity Controls in a Workflow Management System ","HICSS INTERNATIONAL CONFERENCE SYSTEM SCIENCES","A Kumar"
"30","1","93","L Zhao, E Stohr","Workflow-centric Information Distribution through Email,","Journal of Management Information Systems Winter","A Kumar"
"31","1","94","L Zhao, E Stohr","A Workflow-centric Study of Organizational Knowledge Distribution,"," rd International Conference Systems Sciences","A Kumar"
"32","1","95","J Zhao","EROICA: A Rule-Based Approach to Organizational Policy Management in Workflow Systems ","WAIM Web Age Information Management","A Kumar"
"33","1","20","S Cheung","Efficient Solution Techniques for the Quorumcast Problem,","Proceedings of IEEE Infocom Toronto","A Kumar"
"34","1","21","S Cheung","A High Availability \sqrt{N} Hierarchical Grid Algorithm for Replicated Data ","Inf Process Lett","A Kumar"
"35","1","22","V Christophides, R Hull, G Karvounarakis, G Tong, M Xiong","Beyond Discrete E-Services","Composing Session-Oriented Services in Telecommunications","A Kumar"
"36","1","23","V Christophides, R Hull","Querying and Splicing of Workflows,","Sixth International Conference Cooperative Information Systems CoopIS Cooperation with VLDB Very Large Data Bases Trento","A Kumar"
"37","1","24","V Christophides, R Hull, J Simeon","Workflow mediation using VorteXML,","IEEE Data Engineering Bulletin","A Kumar"
"38","1","25","R Hull, V Christophides","Querying and Splicing of XML Workflows ","CoopIS","A Kumar"
"39","1","26","R Hull, J Simeon","Smart Supply Web: An application of Web-based data and workflow mediation, Workshop on Technologies for E-Services VLDB-TES Workshop , Cairo, September ","NA","A Kumar"
"40","1","27","J J&eacute, r r&ocirc, m Sim&eacute, o on, R Hull, V Christophides","Workflow Mediation using VorteXML ","IEEE Data Eng Bull","A Kumar"
"41","1","60","A Segev","Optimizing Voting-Type Algorithms for Replicated Data,","Lecture Notes Computer Science J W Schmidt S Ceri and M Misekoff eds Springer Verlag Proceedings of the First International Conference Extending Database Technology","A Kumar"
"42","1","28","J J&eacute, r r&ocirc, m Sim&eacute, o on, R Hull","Smart supply web: an application of web-based data and workflow mediation ","TES Technologies for E Services","A Kumar"
"43","1","61","A Segev","Optimizing and Evaluating Algorithms for Replicated Data Concurrency Control,","Proceedings of the Ninth IEEE International Conference Distributed Computing Systems Beach Computer Animation","A Kumar"
"44","1","29","","A Crash Recovery Algorithm Based on Multiple Logs that Exploits Parallelism,","Proceedings of the Second IEEE Symposium Parallel and Distributed Processing","A Kumar"
"45","1","62","K Malik","Optimizing the Costs of Hierarchical Quorum Consensus,","Acta Informatica","A Kumar"
"46","1","63","L Zhao","Architectures and Techniques for Large-Scale, Distributed Workflow Management on the Internet,","Workshop Information Technology and Systems","A Kumar"
"47","1","64","K Kumar, A A, Z Zhao, L L","EROICA: A Rule-based Approach to Organizational Policy Management in Workflow Systems,","WAIM Web Age Information Management Conference Beijing","A Kumar"
"48","1","65","","Organizing an Optimal Hierarchy of Web Pages Based on Access Frequency,","Workshop Information Technology and Systems WITS Workshop Information Technologies and Systems Barcelona","A Kumar"
"49","1","66","","A Randomized Voting Algorithm,","Proceedings of the Eleventh IEEE International Conference Distributed Systems","A Kumar"
"50","1","67","","A randomized algorithm for distributed consensus,","IEEE Symposium Reliable Distributed Systems Purdue University W","A Kumar"
"51","1","68","M Stonebraker","Semantics Based Transaction Management Techniques for Replicated Data,","Proceedings ACM SIGMOD International Conference Management of Data Special Interest Group Management of Data Conference","A Kumar"
"52","1","69","I Olmeda","A Study of Composite classifiers for knowledge discovery,","INFORMS Journal Computing Volume Summer","A Kumar"
"53","1","30","A Segev","Cost and Availability Tradeoffs in Replicated Data Concurrency Control,","ACM Transactions Database Systems","A Kumar"
